о7457;Ролевая черная;Краска ролевая черная;кг;;1,62;EUR
о8406;Ролевая цветная;Краска ролевая пурпурная;кг;;2,32;EUR
о2954;Ролевая цветная;Краска ролевая голубая;кг;;2,32;EUR
о2439;Ролевая цветная;Краска ролевая желтая;кг;;2,32;EUR
о3041;Ролевая цветная;Краска ролевая (пурпурная);кг;;2,32;EUR
о2554;Ролевая цветная;Краска ролевая (голубая);кг;;2,32;EUR
о9036;Ролевая цветная;Краска ролевая (желтая);кг;;2,32;EUR
о8560;Листовые черные;ПАНТОН.VS-91109 ЧЕРНЫЙ;кг;;845,98;RUR
о9611;Листовые черные;Краска триада Quickfast 250 черная (для мат.бумаги);кг;;5,75;EUR
ц9630;Ризограф;Краска черная для Ризографа (цифровая печать);кг;;1625;RUR
о5905;Листовые черные;Краска триада Supreme черная;кг;;5,75;EUR
о9336;Листовые цветные;"ИНОР" 986 КРОЮЩИЕ БЕЛИЛА;кг;;456,69;RUR
о9878;Листовые цветные;Краска триада Supreme желтая;кг;;5,75;EUR
о1463;Листовые цветные;Краска триада Supreme голубая;кг;;5,75;EUR
о2739;Листовые цветные;Краска триада Supreme пурпурная;кг;;5,75;EUR
о7526;Листовые цветные;Краска триада Quickfast 250 желтая (для мат.бумаги);кг;;5,75;EUR
о6889;Листовые цветные;Краска триада Quickfast 250 голубая (для мат.бумаги);кг;;5,75;EUR
о3903;Листовые цветные;Краска триада Quickfast 250 пурпурная (для мат.бумаги);кг;;5,75;EUR
о9030;Листовые цветные;Краска листовая Panton;кг;;16,67;EUR
о4173;Листовые цветные;Краска листовая Panton ;кг;;16,67;EUR
о1549;Листовые цветные;Краска листовая Panton  ;кг;;16,67;EUR
о3941;Листовые цветные;Краска листовая Panton   ;кг;;16,67;EUR
о8320;Листовые цветные;Краска листовая Panton    ;кг;;16,67;EUR
о3119;Листовые цветные;Краска листовая Panton     ;кг;;16,67;EUR
о8615;Листовые цветные;ПАНТОН Унипак 873 Голд(золото);кг;;1957,97;RUR
о4205;Листовые цветные;VAN Son 877 серебряная;кг;;1526,84;RUR
о2330;Листовые цветные;ПАНТОН VS 91108 белила прозрач;кг;;899,21;RUR
о1812;Листовые цветные;ПАНТОН VS 91135 485 РЕД.;кг;;1096,4;RUR
о7216;Листовые цветные;ПАНТОН. 021 оранж. VS 91113;кг;;1396,13;RUR
о9711;Лак;Лак глянцевый;кг;;6,33;EUR
о4527;Лак;Матовый лак;кг;;5,67;EUR
о1121;Лак;ВД лак W_2260 глянцевый (под заморозку);кг;;1,75;EUR
о3898;Лак;ВД лак W_1040 глянцевый;кг;;1,5;EUR
о7238;Лак;ВД лак W_0090 матовый;кг;;1,67;EUR
т1317;Трафаретные;Глянцевый УФ-лак;кг;;2097,3;RUR
т8454;Трафаретные;Трафаретный рельефный лак УФ отверждения;кг;;3213,94;RUR
т1650;Трафаретные;Краска УФ отверждения золотая;кг;;4513,33;RUR
т9342;Трафаретные;Краска трафаретная белая кроющая;кг;;2714,05;RUR
ц4142;Ризограф;Мастер-пленка для Ризографа (цифровая печать);рулон;;3541,67;RUR
о7657;Пластины CTP;665х910 Ryobi CТР "Kaizen";шт.;;2,15;USD
о8644;Пластины CTP;800х1030 Komori_540 СТР "Kaizen";шт.;;2,93;USD
п1319;Переплетный;Бумвинил 1 сорт ширина 830 мм.;п.м.;;27,3;RUR
п8317;Переплетный;Коленкор;м.;;31,02;RUR
п3050;Переплетный;Переплетный материал;п.м.;;154,5;RUR
п3041;Переплетный;Переплетный материал ;п.м.;;257,5;RUR
п4621;Переплетный;Переплетный материал  ;п.м.;;515;RUR
п6843;Переплетный;Скотч двухсторонний (ширина 6-9мм, клеевой слой 0,09мм, 100м в ролике);п.м.;;1,25;RUR
п5070;Переплетный;Ригель 200мм белый;шт.;;4;RUR
п9149;Переплетный;Люверсы;шт.;;0,25;RUR
п7284;Переплетный;Клей "Килтомелт" К-610;кг;;442,5;RUR
п1473;Переплетный;Клей "Ситомелт" 2500;кг;;621,67;RUR
п6821;Переплетный;Клей "Ситол" 2488;кг;;355,83;RUR
п2667;Переплетный;Клей "Ситол" 2303;кг;;173,33;RUR
