г5219;газетная;газетная все форматы (кг);кг;1;32,25;RUR
о4792;офсетная;офсетная все форматы (кг);кг;1;68,67;RUR
о4398;офсетная;писчая все форматы (кг);кг;1;68,67;RUR
о9745;офсетная;офсетная для многокрасочной печати (кг);кг;1;68,67;RUR
о1068;офсетная;офсетная для черно-белой печати (кг);кг;1;59,17;RUR
о4832;офсетная;офсетная "МаэстроПринт" 80-120 гр. (пост. Комус) (кг);кг;1;65,83;RUR
о8317;офсетная;офсетная Колорит паперлин А3 42*29,7*80 (лист);лист;1;0,02;EUR
о2438;офсетная;офсетная Колорит паперлин А3 42*29,7*160 (лист);лист;1;0,03;EUR
о8246;офсетная;офсетный срыв все форматы (кг);кг;1;30;RUR
г1192;газетная;газетный срыв все форматы (кг);кг;1;25;RUR
к9022;картон;картон переплетный с паролоном 80*100 — 1,5/2мм, пл. 1130 (лист);лист;1;4;EUR
к4591;картон;картон переплетный 1,75мм 70*100 импорт., пл. 1103 (кг);кг;1;1,45;EUR
к7438;картон;картон переплетный 1,75мм 70*100 отеч., пл. 1100 (кг);кг;1;45;RUR
к6771;картон;картон переплетный 1мм 80*100, пл. 630 (лист);лист;1;0,571704;EUR
к7598;картон;картон Люкслайн 70*100*1230 2.0 (лист);лист;1;0,923853;EUR
к4182;картон;картон Люкслайн 70*100*1449 2.3 (лист);лист;1;1,0883439;EUR
к4416;картон;картон Люкслайн 70*100*1575 2.5 (лист);лист;1;1,1829825;EUR
м1355;меловка;меловка глянцевая импорт. ПЕРИОДИКА (кг);кг;1;0,98;EUR
м3945;меловка;меловка матовая импорт. ПЕРИОДИКА (кг);кг;1;0,98;EUR
м5148;меловка;меловка глянцевая импорт. (кг);кг;1;1,2;EUR
м7058;меловка;меловка матовая импорт. (кг);кг;1;1,2;EUR
м8502;меловка;меловка глянцевая отеч. "Омела" пл.90 (кг);кг;1;69,58;RUR
м4866;меловка;меловка глянцевая отеч. "Омела" пл.105-170 (кг);кг;1;67,92;RUR
м4871;меловка;меловка матовая отеч. "Омела" пл.90 (кг);кг;1;69,58;RUR
м8515;меловка;меловка матовая отеч. "Омела" пл.105-170 (кг);кг;1;67,92;RUR
м2855;меловка;меловка URAL BRITE пл. 70 (кг);кг;1;71,01;RUR
м1416;меловка;меловка URAL BRITE пл. 80 (кг);кг;1;71,39;RUR
м5383;меловка;мелованная книжно-журнальная, пл.75 (кг);кг;1;0,96;EUR
м9289;меловка;Бумага Xerox SRA3 Matt 115 г/м.кв., SRA3 500л. (лист);лист;1;1,86;RUR
м1582;меловка;Бумага Xerox SRA3 Matt 130 г/м.кв., SRA3 500л. (лист);лист;1;2,12;RUR
м5816;меловка;Бумага Xerox SRA3 Matt 150 г/м.кв., SRA3 250л. (лист);лист;1;2,44;RUR
м1665;меловка;Бумага Xerox SRA3 Matt 170 г/м.кв., SRA3 250л. (лист);лист;1;2,76;RUR
м6091;меловка;Бумага Xerox SRA3 Matt 200 г/м.кв., SRA3 250л. (лист);лист;1;3,28;RUR
м1616;меловка;Бумага Xerox SRA3 Matt 250 г/м.кв., SRA3 250л. (лист);лист;1;4,16;RUR
м2913;меловка;Бумага Xerox SRA3 Matt 300 г/м.кв., SRA3 250л. (лист);лист;1;5,04;RUR
к4365;картон;картон мелов DUO 62*94*210 (лист);лист;1;0,21;USD
к9351;картон;картон мелов DUO 62*94*235 (лист);лист;1;0,24;USD
к9458;картон;картон мелов DUO 62*94*250 (лист);лист;1;0,25;USD
к5379;картон;картон мелов DUO 62*94*255 (лист);лист;1;0,26;USD
